phc_id,date,patients
PHC-03,2026-08-05,124
PHC-03,2026-08-06,123
PHC-03,2026-08-07,117
PHC-03,2026-08-08,115
PHC-03,2026-08-09,71
PHC-03,2026-08-10,125
PHC-03,2026-08-11,118
PHC-03,2026-08-12,116
PHC-03,2026-08-13,125
PHC-03,2026-08-14,114
PHC-03,2026-08-15,123
PHC-03,2026-08-16,81
PHC-03,2026-08-17,113
PHC-03,2026-08-18,118
PHC-03,2026-08-19,124
PHC-03,2026-08-20,123
PHC-03,2026-08-21,127
PHC-03,2026-08-22,121
PHC-04,2026-07-24,61
PHC-04,2026-07-25,72
PHC-04,2026-07-26,46
PHC-04,2026-07-27,68
PHC-04,2026-07-28,70
PHC-04,2026-07-29,63
PHC-04,2026-07-30,69
PHC-04,2026-07-31,70
PHC-04,2026-08-01,74
PHC-04,2026-08-02,44
PHC-04,2026-08-03,67
PHC-04,2026-08-04,68
PHC-04,2026-08-05,72
PHC-04,2026-08-06,70
PHC-04,2026-08-07,68
PHC-04,2026-08-08,71
PHC-04,2026-08-09,47
PHC-04,2026-08-10,72
PHC-04,2026-08-11,67
PHC-04,2026-08-12,68
PHC-04,2026-08-13,68
PHC-04,2026-08-14,64
PHC-04,2026-08-15,70
PHC-04,2026-08-16,47
PHC-04,2026-08-17,69
PHC-04,2026-08-18,69
PHC-04,2026-08-19,65
PHC-04,2026-08-20,68
PHC-04,2026-08-21,68
PHC-04,2026-08-22,67
PHC-05,2026-07-24,121
PHC-05,2026-07-25,121
PHC-05,2026-07-26,70
PHC-05,2026-07-27,131
PHC-05,2026-07-28,124
PHC-05,2026-07-29,124
PHC-05,2026-07-30,129
PHC-05,2026-07-31,118
PHC-05,2026-08-01,119
PHC-05,2026-08-02,85
PHC-05,2026-08-03,124
PHC-05,2026-08-04,126
PHC-05,2026-08-05,123
PHC-05,2026-08-06,122
PHC-05,2026-08-07,132
PHC-05,2026-08-08,130
PHC-05,2026-08-09,68
PHC-05,2026-08-10,133
PHC-05,2026-08-11,137
PHC-05,2026-08-12,131
PHC-05,2026-08-13,123
PHC-05,2026-08-14,120
PHC-05,2026-08-15,128
PHC-05,2026-08-16,79
PHC-05,2026-08-17,126
PHC-05,2026-08-18,124
PHC-05,2026-08-19,131
PHC-05,2026-08-20,122
PHC-05,2026-08-21,121
PHC-05,2026-08-22,126
PHC-06,2026-07-24,111
PHC-06,2026-07-25,107
PHC-06,2026-07-26,69
PHC-06,2026-07-27,101
PHC-06,2026-07-28,106
PHC-06,2026-07-29,97
PHC-06,2026-07-30,106
PHC-06,2026-07-31,98
PHC-06,2026-08-01,106
PHC-06,2026-08-02,68
PHC-06,2026-08-03,101
PHC-06,2026-08-04,99
PHC-06,2026-08-05,101
PHC-06,2026-08-06,106
PHC-06,2026-08-07,108
PHC-06,2026-08-08,105
PHC-06,2026-08-09,75
PHC-06,2026-08-10,115
PHC-06,2026-08-11,101
PHC-06,2026-08-12,102
PHC-06,2026-08-13,96
PHC-06,2026-08-14,109
PHC-06,2026-08-15,109
PHC-06,2026-08-16,64
PHC-06,2026-08-17,106
PHC-06,2026-08-18,109
PHC-06,2026-08-19,104
PHC-06,2026-08-20,107
PHC-06,2026-08-21,104
PHC-06,2026-08-22,97
PHC-07,2026-07-24,98
PHC-07,2026-07-25,98
PHC-07,2026-07-26,59
PHC-07,2026-07-27,98
PHC-07,2026-07-28,104
PHC-07,2026-07-29,94
PHC-07,2026-07-30,93
PHC-07,2026-07-31,103
PHC-07,2026-08-01,101
PHC-07,2026-08-02,79
PHC-07,2026-08-03,92
PHC-07,2026-08-04,101
PHC-07,2026-08-05,99
PHC-07,2026-08-06,98
PHC-07,2026-08-07,102
PHC-07,2026-08-08,98
PHC-07,2026-08-09,56
PHC-07,2026-08-10,94
PHC-07,2026-08-11,104
PHC-07,2026-08-12,103
PHC-07,2026-08-13,96
PHC-07,2026-08-14,100
PHC-07,2026-08-15,111
PHC-07,2026-08-16,65
PHC-07,2026-08-17,98
PHC-07,2026-08-18,99
PHC-07,2026-08-19,100
PHC-07,2026-08-20,96
PHC-07,2026-08-21,100
PHC-07,2026-08-22,89
PHC-08,2026-07-24,102
PHC-08,2026-07-25,108
PHC-08,2026-07-26,74
PHC-08,2026-07-27,102
PHC-08,2026-07-28,99
PHC-08,2026-07-29,101
PHC-08,2026-07-30,107
PHC-08,2026-07-31,104
PHC-08,2026-08-01,107
PHC-08,2026-08-02,78
PHC-08,2026-08-03,105
PHC-08,2026-08-04,100
PHC-08,2026-08-05,109
PHC-08,2026-08-06,104
PHC-08,2026-08-07,108
PHC-08,2026-08-08,109
PHC-08,2026-08-09,65
PHC-08,2026-08-10,111
PHC-08,2026-08-11,108
PHC-08,2026-08-12,101
PHC-08,2026-08-13,105
PHC-08,2026-08-14,105
PHC-08,2026-08-15,104
PHC-08,2026-08-16,74
PHC-08,2026-08-17,111
PHC-08,2026-08-18,104
PHC-08,2026-08-19,111
PHC-08,2026-08-20,109
PHC-08,2026-08-21,105
PHC-08,2026-08-22,105
PHC-09,2026-07-24,55
PHC-09,2026-07-25,56
PHC-09,2026-07-26,36
PHC-09,2026-07-27,57
PHC-09,2026-07-28,63
PHC-09,2026-07-29,52
PHC-09,2026-07-30,59
PHC-09,2026-07-31,52
PHC-09,2026-08-01,55
PHC-09,2026-08-02,41
PHC-09,2026-08-03,57
PHC-09,2026-08-04,54
PHC-09,2026-08-05,55
PHC-09,2026-08-06,59
PHC-09,2026-08-07,55
PHC-09,2026-08-08,57
PHC-09,2026-08-09,38
PHC-09,2026-08-10,55
PHC-09,2026-08-11,62
PHC-09,2026-08-12,58
PHC-09,2026-08-13,51
PHC-09,2026-08-14,57
PHC-09,2026-08-15,55
PHC-09,2026-08-16,40
PHC-09,2026-08-17,55
PHC-09,2026-08-18,56
PHC-09,2026-08-19,58
PHC-09,2026-08-20,59
PHC-09,2026-08-21,53
PHC-09,2026-08-22,56
PHC-10,2026-07-24,39
PHC-10,2026-07-25,41
PHC-10,2026-07-26,28
PHC-10,2026-07-27,43
PHC-10,2026-07-28,46
PHC-10,2026-07-29,42
PHC-10,2026-07-30,45
PHC-10,2026-07-31,41
PHC-10,2026-08-01,42
PHC-10,2026-08-02,27
PHC-10,2026-08-03,41
PHC-10,2026-08-04,41
PHC-10,2026-08-05,41
PHC-10,2026-08-06,41
PHC-10,2026-08-07,41
PHC-10,2026-08-08,44
PHC-10,2026-08-09,32
PHC-10,2026-08-10,41
PHC-10,2026-08-11,41
PHC-10,2026-08-12,43
PHC-10,2026-08-13,48
PHC-10,2026-08-14,42
PHC-10,2026-08-15,44
PHC-10,2026-08-16,31
PHC-10,2026-08-17,43
PHC-10,2026-08-18,44
PHC-10,2026-08-19,43
PHC-10,2026-08-20,44
PHC-10,2026-08-21,40
PHC-10,2026-08-22,42
