phc_id,medicine_name,current_stock,daily_consumption,minimum_safety_stock,expiry_date,incoming_shipment_qty,incoming_shipment_eta_days
PHC-012,Insulin,2018,200,1400,2027-04-27,0,0
PHC-013,Amoxicillin,1655,115,805,2027-05-26,0,0
PHC-013,ORS,1653,125,875,2027-03-14,0,0
PHC-013,IV Fluids,890,79,553,2026-10-30,0,0
PHC-013,Iron Tablets,1141,86,602,2027-01-15,0,0
PHC-013,Antiseptic Solution,2230,151,1057,2027-07-04,0,0
PHC-013,Insulin,1234,143,1001,2027-04-12,0,0
PHC-013,Cough Syrup,522,53,371,2026-11-24,0,0
PHC-013,Paracetamol,1756,166,1162,2027-02-03,0,0
PHC-014,Insulin,1499,151,1057,2026-11-23,0,0
PHC-014,IV Fluids,1434,166,1162,2027-01-08,0,0
PHC-014,Amoxicillin,459,55,385,2027-03-11,0,0
PHC-014,Paracetamol,1671,112,784,2027-07-08,0,0
PHC-014,Cough Syrup,864,102,714,2027-07-02,0,0
PHC-014,Antiseptic Solution,1246,103,721,2027-01-19,0,0
PHC-014,ORS,1798,134,938,2027-07-24,0,0
PHC-014,Iron Tablets,497,50,350,2026-12-05,0,0
PHC-015,Amoxicillin,2199,147,1029,2027-06-20,0,0
PHC-015,Antiseptic Solution,1397,125,875,2027-07-28,0,0
PHC-015,Iron Tablets,1391,160,1120,2026-11-19,0,0
PHC-015,Cough Syrup,2491,191,1337,2027-01-10,0,0
PHC-015,IV Fluids,1785,160,1120,2027-01-16,0,0
PHC-016,ORS,967,118,826,2027-02-08,0,0
PHC-016,IV Fluids,1864,129,903,2027-03-20,0,0
PHC-016,Amoxicillin,472,51,357,2026-12-04,0,0
PHC-016,Iron Tablets,2444,194,1358,2026-10-27,0,0
PHC-016,Antiseptic Solution,1134,86,602,2026-10-07,0,0
PHC-016,Insulin,965,73,511,2027-01-10,0,0
PHC-016,Paracetamol,1597,146,1022,2027-03-15,0,0
PHC-017,Cough Syrup,2412,167,1169,2027-03-01,0,0
PHC-017,Paracetamol,732,394,2758,2027-04-17,9062,6
PHC-017,Insulin,855,79,553,2027-03-07,0,0
PHC-017,IV Fluids,484,186,1302,2027-08-04,0,0
PHC-017,Antiseptic Solution,1223,142,994,2026-11-15,0,0
PHC-017,Iron Tablets,1237,112,784,2027-04-15,0,0
PHC-018,Iron Tablets,1363,165,1155,2027-03-29,0,0
PHC-018,Antiseptic Solution,1050,123,861,2026-11-07,0,0
PHC-018,Paracetamol,1913,179,1253,2027-07-16,0,0
PHC-018,Amoxicillin,2803,191,1337,2026-10-13,0,0
PHC-018,Cough Syrup,2369,165,1155,2027-07-11,0,0
PHC-018,ORS,1004,98,686,2027-05-23,0,0
PHC-018,IV Fluids,1611,178,1246,2026-10-23,0,0
PHC-019,Cough Syrup,948,99,693,2026-12-01,0,0
PHC-019,Paracetamol,205,178,1246,2026-11-12,4806,10
PHC-019,Amoxicillin,745,59,413,2027-08-04,0,0
PHC-019,Antiseptic Solution,1011,83,581,2026-12-09,0,0
PHC-019,ORS,247,182,1274,2027-08-07,2730,9
PHC-019,IV Fluids,222,122,854,2027-01-21,3538,6
PHC-019,Insulin,1580,164,1148,2027-01-22,0,0
PHC-019,Iron Tablets,1903,129,903,2027-05-20,0,0
PHC-020,Cough Syrup,1765,85,595,2027-05-21,0,0
PHC-020,Paracetamol,2990,85,595,2027-05-20,0,0
PHC-020,Antiseptic Solution,5298,164,1148,2026-11-01,0,0
PHC-020,Amoxicillin,1356,54,378,2026-12-07,0,0
PHC-020,ORS,7372,190,1330,2027-07-30,0,0
PHC-021,Cough Syrup,1018,76,532,2027-03-11,0,0
PHC-021,IV Fluids,698,84,588,2027-06-28,0,0
PHC-021,Paracetamol,1862,136,952,2026-12-20,0,0
PHC-021,Amoxicillin,2497,168,1176,2027-05-25,0,0
PHC-021,ORS,1313,96,672,2026-10-24,0,0
PHC-022,Iron Tablets,4023,139,973,2027-03-21,0,0
PHC-022,Insulin,4104,161,1127,2026-10-21,0,0
PHC-022,Antiseptic Solution,2306,69,483,2027-04-17,0,0
PHC-022,IV Fluids,4327,143,1001,2026-12-12,0,0
PHC-022,ORS,1302,57,399,2027-07-30,0,0
PHC-022,Amoxicillin,3352,162,1134,2026-10-26,0,0
PHC-022,Cough Syrup,3912,110,770,2027-03-28,0,0
PHC-023,Iron Tablets,3215,81,567,2026-12-02,0,0
PHC-023,IV Fluids,3938,110,770,2026-10-05,0,0
PHC-023,ORS,4413,142,994,2027-03-29,0,0
PHC-023,Cough Syrup,6096,169,1183,2027-07-01,0,0
PHC-023,Amoxicillin,2675,83,581,2026-11-05,0,0
PHC-023,Insulin,1728,66,462,2027-05-25,0,0
PHC-023,Paracetamol,5191,184,1288,2027-04-19,0,0
PHC-024,Cough Syrup,893,61,427,2027-07-14,0,0
PHC-024,IV Fluids,1469,117,819,2027-07-11,0,0
PHC-024,Iron Tablets,1922,156,1092,2026-10-07,0,0
PHC-024,Paracetamol,2517,177,1239,2027-06-28,0,0
PHC-024,Antiseptic Solution,1549,124,868,2027-02-23,0,0
PHC-024,Insulin,1680,173,1211,2027-04-17,0,0
PHC-025,Antiseptic Solution,2083,199,1393,2026-10-17,0,0
PHC-025,Paracetamol,1398,122,854,2027-08-22,0,0
PHC-025,IV Fluids,1700,170,1190,2026-09-26,0,0
PHC-025,Insulin,848,77,539,2027-02-04,0,0
PHC-025,Iron Tablets,1908,143,1001,2027-03-28,0,0
PHC-025,Cough Syrup,659,61,427,2027-07-10,0,0
PHC-025,Amoxicillin,1806,193,1351,2027-07-02,0,0
PHC-026,Iron Tablets,2020,199,1393,2027-08-10,0,0
PHC-026,Insulin,681,56,392,2027-02-04,0,0
PHC-026,Paracetamol,2384,198,1386,2026-10-18,0,0
PHC-026,Amoxicillin,2261,199,1393,2027-06-17,0,0
PHC-026,Antiseptic Solution,1328,147,1029,2027-01-24,0,0
PHC-026,IV Fluids,696,58,406,2026-11-17,0,0
PHC-026,Cough Syrup,796,98,686,2027-03-01,0,0
PHC-026,ORS,1422,157,1099,2027-01-04,0,0
PHC-027,Cough Syrup,2052,163,1141,2027-05-25,0,0
PHC-027,IV Fluids,979,104,728,2027-06-24,0,0
PHC-027,ORS,1729,119,833,2027-02-08,0,0
PHC-027,Amoxicillin,744,85,595,2027-07-19,0,0
PHC-027,Paracetamol,1076,111,777,2027-06-20,0,0
PHC-027,Antiseptic Solution,1333,107,749,2026-10-18,0,0
PHC-027,Insulin,816,75,525,2027-05-21,0,0
PHC-027,Iron Tablets,957,75,525,2026-12-01,0,0
PHC-028,Cough Syrup,785,97,679,2027-03-13,0,0
PHC-028,ORS,1496,125,875,2026-12-29,0,0
PHC-028,Antiseptic Solution,1154,94,658,2027-08-15,0,0
PHC-028,Insulin,2109,153,1071,2027-06-12,0,0
PHC-028,Amoxicillin,1144,133,931,2026-11-09,0,0
PHC-029,Antiseptic Solution,1704,194,1358,2027-06-29,0,0
PHC-029,Iron Tablets,1685,179,1253,2027-06-23,0,0
PHC-029,Cough Syrup,805,88,616,2027-06-15,0,0
PHC-029,Amoxicillin,1436,163,1141,2027-01-05,0,0
PHC-029,Paracetamol,2272,199,1393,2027-06-10,0,0
PHC-030,Insulin,2073,189,1323,2027-04-04,0,0
PHC-030,IV Fluids,1051,108,756,2027-03-18,0,0
PHC-030,Paracetamol,883,89,623,2026-11-18,0,0
PHC-030,Cough Syrup,792,58,406,2027-04-24,0,0
PHC-030,Amoxicillin,522,54,378,2026-10-26,0,0
PHC-030,ORS,911,75,525,2027-05-08,0,0
PHC-031,IV Fluids,442,298,2086,2027-01-04,0,0
PHC-031,Insulin,1011,70,490,2027-03-30,0,0
PHC-031,Iron Tablets,857,73,511,2026-12-28,0,0
PHC-031,Cough Syrup,622,63,441,2027-07-28,0,0
PHC-031,ORS,329,120,840,2026-12-27,3360,10
PHC-032,Iron Tablets,2390,190,1330,2027-03-13,0,0
PHC-032,ORS,1534,115,805,2027-05-30,0,0
PHC-032,IV Fluids,1964,175,1225,2027-03-21,0,0
PHC-032,Amoxicillin,835,93,651,2027-06-28,0,0
PHC-032,Cough Syrup,1625,175,1225,2027-06-26,0,0
PHC-032,Insulin,758,65,455,2026-10-30,0,0
PHC-032,Paracetamol,827,62,434,2027-04-21,0,0
PHC-032,Antiseptic Solution,1181,85,595,2027-01-18,0,0
PHC-033,IV Fluids,797,64,448,2026-12-18,0,0
PHC-033,Insulin,816,71,497,2027-05-02,0,0
PHC-033,Antiseptic Solution,1602,134,938,2026-11-09,0,0
PHC-033,Iron Tablets,2670,185,1295,2027-01-17,0,0
PHC-033,Cough Syrup,1488,104,728,2027-07-09,0,0
PHC-034,Insulin,1698,125,875,2026-10-29,0,0
PHC-034,Amoxicillin,701,71,497,2027-04-04,0,0
PHC-034,Iron Tablets,1172,89,623,2027-03-03,0,0
PHC-034,Antiseptic Solution,1241,142,994,2026-09-24,0,0
PHC-034,Cough Syrup,1422,128,896,2027-02-07,0,0
PHC-034,Paracetamol,678,76,532,2026-12-26,0,0
PHC-034,ORS,1782,160,1120,2027-07-03,0,0
PHC-034,IV Fluids,1964,181,1267,2026-10-05,0,0
PHC-035,Paracetamol,1486,135,945,2027-08-21,0,0
PHC-035,Insulin,848,84,588,2027-07-27,0,0
PHC-035,Amoxicillin,1146,101,707,2026-12-21,0,0
PHC-035,Iron Tablets,2231,151,1057,2027-02-18,0,0
PHC-035,IV Fluids,2585,175,1225,2027-01-24,0,0
PHC-035,ORS,1414,133,931,2027-04-11,0,0
PHC-035,Cough Syrup,1258,143,1001,2027-07-07,0,0
PHC-036,IV Fluids,451,52,364,2027-01-13,0,0
PHC-036,Antiseptic Solution,2381,180,1260,2027-07-04,0,0
PHC-036,Amoxicillin,2537,198,1386,2027-01-13,0,0
PHC-036,Insulin,1741,164,1148,2027-05-17,0,0
PHC-036,Paracetamol,2566,200,1400,2026-12-08,0,0
PHC-037,Insulin,659,51,357,2027-01-05,0,0
PHC-037,Antiseptic Solution,1605,121,847,2026-10-24,0,0
PHC-037,Iron Tablets,1716,197,1379,2027-06-23,0,0
PHC-037,IV Fluids,1024,97,679,2026-12-31,0,0
PHC-037,Cough Syrup,1469,167,1169,2027-05-30,0,0
PHC-038,Cough Syrup,2182,148,1036,2027-06-07,0,0
PHC-038,Paracetamol,1912,176,1232,2027-05-31,0,0
PHC-038,Insulin,2023,156,1092,2027-05-07,0,0
PHC-038,ORS,1604,175,1225,2027-07-08,0,0
PHC-038,Iron Tablets,773,57,399,2027-01-12,0,0
PHC-039,Cough Syrup,5224,132,924,2027-02-18,0,0
PHC-039,Iron Tablets,3900,124,868,2027-06-12,0,0
PHC-039,Amoxicillin,1680,74,518,2027-04-20,0,0
PHC-039,IV Fluids,2590,65,455,2027-08-23,0,0
PHC-039,ORS,2790,82,574,2026-11-28,0,0
PHC-040,Paracetamol,1813,162,1134,2027-04-29,0,0
PHC-040,Antiseptic Solution,1511,101,707,2026-11-28,0,0
PHC-040,IV Fluids,1157,127,889,2027-02-09,0,0
PHC-040,Insulin,918,73,511,2027-01-28,0,0
PHC-040,Cough Syrup,752,71,497,2027-08-20,0,0
PHC-040,Iron Tablets,769,92,644,2027-08-08,0,0
PHC-040,Amoxicillin,1674,128,896,2027-01-19,0,0
PHC-041,ORS,2049,139,973,2027-03-02,0,0
PHC-041,Antiseptic Solution,827,85,595,2027-08-18,0,0
PHC-041,Paracetamol,691,71,497,2027-07-26,0,0
PHC-041,Iron Tablets,1641,122,854,2026-10-05,0,0
PHC-041,Insulin,1198,127,889,2027-07-29,0,0
PHC-042,Iron Tablets,1923,187,1309,2027-07-19,0,0
PHC-042,Paracetamol,671,66,462,2027-05-03,0,0
PHC-042,Amoxicillin,932,111,777,2026-11-05,0,0
PHC-042,IV Fluids,1418,161,1127,2027-08-01,0,0
PHC-042,ORS,650,64,448,2026-12-20,0,0
PHC-042,Antiseptic Solution,647,80,560,2026-12-01,0,0
PHC-043,Antiseptic Solution,700,59,413,2027-08-23,0,0
PHC-043,Amoxicillin,1502,157,1099,2027-01-27,0,0
PHC-043,Insulin,2248,156,1092,2027-03-04,0,0
PHC-043,ORS,1640,119,833,2027-07-11,0,0
PHC-043,Iron Tablets,1281,145,1015,2026-10-18,0,0
PHC-044,Amoxicillin,1556,109,763,2027-06-15,0,0
PHC-044,Cough Syrup,2000,155,1085,2027-03-31,0,0
PHC-044,Antiseptic Solution,2475,167,1169,2026-11-04,0,0
PHC-044,Paracetamol,1716,198,1386,2026-11-29,0,0
PHC-044,Iron Tablets,1278,150,1050,2027-07-09,0,0
PHC-045,Paracetamol,2541,192,1344,2027-01-27,0,0
PHC-045,Cough Syrup,831,74,518,2026-12-02,0,0
PHC-045,Amoxicillin,654,81,567,2027-01-13,0,0
PHC-045,IV Fluids,779,83,581,2027-04-15,0,0
PHC-045,ORS,1856,145,1015,2027-08-18,0,0
PHC-045,Antiseptic Solution,857,71,497,2027-02-01,0,0
PHC-045,Insulin,562,69,483,2026-10-25,0,0
PHC-045,Iron Tablets,1431,100,700,2027-05-07,0,0
PHC-046,Antiseptic Solution,573,56,392,2027-01-12,0,0
PHC-046,Amoxicillin,813,57,399,2027-02-12,0,0
PHC-046,Iron Tablets,874,64,448,2027-05-21,0,0
PHC-046,Cough Syrup,1942,185,1295,2027-07-18,0,0
PHC-046,IV Fluids,1615,109,763,2026-11-12,0,0
PHC-046,ORS,1423,113,791,2027-02-05,0,0
PHC-046,Insulin,2550,186,1302,2026-10-20,0,0
PHC-046,Paracetamol,1275,106,742,2027-04-08,0,0
PHC-047,ORS,1182,132,924,2026-12-11,0,0
PHC-047,Amoxicillin,2180,161,1127,2027-05-29,0,0
PHC-047,Cough Syrup,1207,131,917,2027-07-06,0,0
PHC-047,Insulin,1348,141,987,2027-07-20,0,0
PHC-047,Paracetamol,1000,94,658,2027-02-19,0,0
PHC-047,Antiseptic Solution,758,82,574,2026-09-22,0,0
PHC-047,IV Fluids,2105,196,1372,2027-07-09,0,0
PHC-048,Antiseptic Solution,1700,116,812,2026-10-29,0,0
PHC-048,Paracetamol,1259,137,959,2027-04-02,0,0
PHC-048,IV Fluids,1194,91,637,2027-06-29,0,0
PHC-048,Amoxicillin,756,73,511,2027-08-02,0,0
PHC-048,Cough Syrup,2237,173,1211,2027-04-30,0,0
PHC-048,ORS,1127,92,644,2027-05-02,0,0
PHC-049,IV Fluids,1663,169,1183,2027-02-06,0,0
PHC-049,Amoxicillin,1635,194,1358,2026-11-10,0,0
PHC-049,ORS,900,71,497,2027-06-26,0,0
PHC-049,Insulin,2293,155,1085,2027-07-20,0,0
PHC-049,Paracetamol,1282,108,756,2027-04-08,0,0
PHC-049,Cough Syrup,2000,183,1281,2027-06-23,0,0
PHC-049,Antiseptic Solution,2053,171,1197,2027-01-20,0,0
PHC-050,ORS,1526,155,1085,2027-08-23,0,0
PHC-050,Iron Tablets,2088,174,1218,2027-05-22,0,0
PHC-050,Paracetamol,543,59,413,2027-04-16,0,0
PHC-050,Amoxicillin,1060,86,602,2027-04-15,0,0
PHC-050,IV Fluids,635,59,413,2027-03-10,0,0
PHC-051,Paracetamol,1982,144,1008,2027-06-07,0,0
PHC-051,Insulin,1879,151,1057,2026-11-24,0,0
PHC-051,Antiseptic Solution,552,57,399,2027-05-30,0,0
PHC-051,Amoxicillin,1515,164,1148,2027-05-22,0,0
PHC-051,ORS,2371,200,1400,2027-03-17,0,0
PHC-051,IV Fluids,1261,91,637,2027-02-01,0,0
PHC-052,Iron Tablets,1866,133,931,2027-02-02,0,0
PHC-052,Cough Syrup,1174,126,882,2027-06-13,0,0
PHC-052,Paracetamol,1587,111,777,2027-07-26,0,0
PHC-052,Insulin,1931,153,1071,2026-12-02,0,0
PHC-052,IV Fluids,704,56,392,2027-02-20,0,0
PHC-052,ORS,1664,116,812,2027-04-17,0,0
PHC-052,Amoxicillin,1960,149,1043,2027-07-17,0,0
PHC-053,IV Fluids,788,88,616,2027-01-02,0,0
PHC-053,Iron Tablets,1488,137,959,2027-07-10,0,0
PHC-053,Amoxicillin,1503,167,1169,2026-12-23,0,0
PHC-053,Insulin,798,70,490,2027-08-11,0,0
PHC-053,Paracetamol,968,95,665,2026-10-21,0,0
PHC-054,IV Fluids,1346,92,644,2027-04-16,0,0
PHC-054,Cough Syrup,518,54,378,2026-11-28,0,0
PHC-054,ORS,1366,104,728,2027-07-20,0,0
PHC-054,Amoxicillin,1643,179,1253,2027-03-28,0,0
PHC-054,Insulin,626,59,413,2027-08-15,0,0
PHC-054,Antiseptic Solution,1540,115,805,2027-08-07,0,0
PHC-054,Paracetamol,753,62,434,2026-10-16,0,0
PHC-055,Insulin,1080,78,546,2027-06-01,0,0
PHC-055,Cough Syrup,1288,88,616,2027-06-10,0,0
PHC-055,Antiseptic Solution,901,69,483,2026-11-12,0,0
PHC-055,Amoxicillin,1438,115,805,2027-05-13,0,0
PHC-055,ORS,1231,125,875,2026-10-17,0,0
PHC-055,Paracetamol,1026,75,525,2026-10-12,0,0
PHC-055,Iron Tablets,1304,124,868,2027-03-01,0,0
PHC-055,IV Fluids,2093,159,1113,2026-11-09,0,0
PHC-056,Cough Syrup,2122,182,1274,2027-08-04,0,0
PHC-056,Paracetamol,816,74,518,2027-01-27,0,0
PHC-056,Antiseptic Solution,1802,173,1211,2027-08-16,0,0
PHC-056,Iron Tablets,1338,148,1036,2027-07-04,0,0
PHC-056,ORS,509,63,441,2026-12-11,0,0
PHC-056,Amoxicillin,2495,179,1253,2027-06-02,0,0
PHC-056,Insulin,784,92,644,2027-05-31,0,0
PHC-057,Iron Tablets,1581,176,1232,2027-04-19,0,0
PHC-057,Antiseptic Solution,753,77,539,2026-12-31,0,0
PHC-057,IV Fluids,243,196,1372,2027-04-11,0,0
PHC-057,Amoxicillin,1275,98,686,2026-11-16,0,0
PHC-057,Paracetamol,341,312,2184,2027-08-12,8736,3
PHC-057,Insulin,1848,165,1155,2027-07-20,0,0
PHC-057,Cough Syrup,1600,179,1253,2027-06-04,0,0
PHC-058,Cough Syrup,1860,186,1302,2027-04-26,0,0
PHC-058,Iron Tablets,617,53,371,2026-10-04,0,0
PHC-058,Insulin,1325,147,1029,2026-10-20,0,0
PHC-058,IV Fluids,309,202,1414,2026-12-13,3636,4
PHC-058,Antiseptic Solution,834,65,455,2027-02-20,0,0
PHC-059,Paracetamol,320,126,882,2027-08-08,2394,9
PHC-059,Amoxicillin,2322,196,1372,2026-10-29,0,0
PHC-059,Insulin,1529,131,917,2026-12-25,0,0
PHC-059,ORS,415,366,2562,2027-06-07,0,0
PHC-059,Antiseptic Solution,2222,189,1323,2026-11-08,0,0
PHC-059,Cough Syrup,1327,139,973,2027-01-09,0,0
PHC-059,Iron Tablets,1382,134,938,2027-02-19,0,0
PHC-060,IV Fluids,899,68,476,2026-12-09,0,0
PHC-060,Antiseptic Solution,628,56,392,2027-03-10,0,0
PHC-060,Paracetamol,508,59,413,2026-10-19,0,0
PHC-060,ORS,1288,95,665,2027-07-04,0,0
PHC-060,Insulin,817,68,476,2027-01-16,0,0
PHC-060,Amoxicillin,1258,116,812,2027-05-10,0,0
PHC-061,ORS,925,97,679,2027-01-29,0,0
PHC-061,Amoxicillin,871,99,693,2027-07-09,0,0
PHC-061,Antiseptic Solution,879,63,441,2027-06-30,0,0
PHC-061,IV Fluids,2102,168,1176,2026-10-29,0,0
PHC-061,Cough Syrup,1575,124,868,2027-01-28,0,0
PHC-061,Insulin,703,75,525,2027-07-16,0,0
PHC-061,Paracetamol,2550,174,1218,2027-03-23,0,0
PHC-061,Iron Tablets,1041,82,574,2027-01-20,0,0
PHC-062,IV Fluids,1876,191,1337,2027-06-25,0,0
PHC-062,Antiseptic Solution,2138,170,1190,2026-12-07,0,0
PHC-062,Iron Tablets,1536,143,1001,2027-07-20,0,0
PHC-062,ORS,1108,124,868,2027-06-05,0,0
PHC-062,Paracetamol,1554,180,1260,2027-03-27,0,0
PHC-063,IV Fluids,5088,140,980,2027-03-17,0,0
PHC-063,Amoxicillin,6238,174,1218,2027-07-28,0,0
PHC-063,Iron Tablets,1531,51,357,2026-12-02,0,0
PHC-063,Paracetamol,3776,162,1134,2026-10-31,0,0
PHC-063,Antiseptic Solution,5949,181,1267,2027-01-08,0,0
PHC-063,ORS,2088,88,616,2027-03-26,0,0
PHC-063,Cough Syrup,2657,80,560,2027-04-22,0,0
PHC-063,Insulin,4610,134,938,2027-05-26,0,0
PHC-064,ORS,200,148,1036,2027-08-02,3996,10
PHC-064,Paracetamol,189,160,1120,2026-11-27,4320,2
PHC-064,Antiseptic Solution,1864,160,1120,2027-03-30,0,0
PHC-064,Iron Tablets,785,61,427,2027-04-29,0,0
PHC-064,Insulin,1573,108,756,2027-05-26,0,0
PHC-064,IV Fluids,500,294,2058,2027-07-13,0,0
PHC-065,Iron Tablets,1201,108,756,2026-12-13,0,0
PHC-065,Amoxicillin,712,75,525,2027-04-15,0,0
PHC-065,Antiseptic Solution,1850,136,952,2027-08-02,0,0
PHC-065,IV Fluids,574,63,441,2027-08-13,0,0
PHC-065,Insulin,695,51,357,2026-12-05,0,0
PHC-065,Cough Syrup,2461,170,1190,2027-05-02,0,0
PHC-065,Paracetamol,608,72,504,2027-01-13,0,0
PHC-065,ORS,1232,144,1008,2026-10-11,0,0
PHC-066,Cough Syrup,1582,197,1379,2026-12-20,0,0
PHC-066,IV Fluids,1777,154,1078,2027-07-05,0,0
PHC-066,Amoxicillin,783,68,476,2027-03-15,0,0
PHC-066,ORS,1076,79,553,2027-01-31,0,0
PHC-066,Iron Tablets,2560,187,1309,2027-07-13,0,0
PHC-066,Insulin,1465,114,798,2027-04-03,0,0
PHC-066,Antiseptic Solution,2208,194,1358,2027-01-24,0,0
PHC-067,Insulin,680,77,539,2026-11-01,0,0
PHC-067,IV Fluids,2164,176,1232,2027-06-26,0,0
PHC-067,ORS,836,60,420,2027-03-31,0,0
PHC-067,Iron Tablets,1488,130,910,2027-07-13,0,0
PHC-067,Amoxicillin,1372,120,840,2027-06-10,0,0
PHC-067,Paracetamol,1305,121,847,2027-07-14,0,0
PHC-068,Insulin,5940,160,1120,2026-12-31,0,0
PHC-068,IV Fluids,3132,87,609,2026-12-07,0,0
PHC-068,Paracetamol,6175,171,1197,2026-12-21,0,0
PHC-068,Amoxicillin,4708,157,1099,2027-08-10,0,0
PHC-068,ORS,5583,182,1274,2027-03-02,0,0
PHC-068,Iron Tablets,4524,174,1218,2027-07-06,0,0
PHC-069,ORS,1444,118,826,2027-04-12,0,0
PHC-069,Paracetamol,1691,119,833,2027-03-26,0,0
PHC-069,Antiseptic Solution,2329,200,1400,2027-05-10,0,0
PHC-069,Amoxicillin,1421,155,1085,2026-10-03,0,0
PHC-069,Cough Syrup,1073,82,574,2027-01-28,0,0
PHC-069,Insulin,663,70,490,2027-04-13,0,0
PHC-069,Iron Tablets,658,76,532,2027-05-22,0,0
PHC-069,IV Fluids,1591,190,1330,2027-04-13,0,0
